corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score,fx_cost_pct,fee_cost_pct,tax_cost_pct,risk_composite,settlement_friction,infra_risk,treaty_friction,stability_risk,total_cost_pct,friction_score,pred
-0.009716077,0.14308658,0.01867885,0.010815778,0.052795395,0.00025006835,-0.0051010107,0.0004927933,-0.0012179294,0.00092480273,-0.0006430284,0.00033910837,-7.372065e-05,0.00038804708,-0.000859815,0.033854835,0.0017105258,0.0005455475,-0.0120400535,0.0021428198,0.0009368536,6.687636e-05,-0.00092250656,0.50229573,4.970003029343115,4.915691
-0.00069451414,0.08404187,-0.15787229,-0.022048144,0.17897813,-7.0622586e-06,-0.0005525457,-0.0004569787,0.003185286,0.0012105021,-9.823991e-05,0.00090300693,-0.00035975032,0.00043371558,0.00031870024,0.017294165,-0.023270743,0.00010488445,0.0060428707,-0.005799398,0.00022304898,-8.4557934e-05,-7.2620234e-05,0.6369214,4.898467834278093,4.89528
7.2663555e-05,0.041382212,0.15267892,-0.015712831,-0.18480988,-7.764691e-05,-0.00093778135,-0.00013636568,-0.0028335524,0.002031276,-0.000121387035,-0.00012204592,0.0029753165,0.007360616,-0.00016399277,0.005854731,0.019726362,0.0006776501,-0.000900217,-0.00382971,0.0006955968,1.4710134e-06,0.00021925195,-0.3579775,3.871118646771146,3.8429909
0.00079488935,0.11937663,0.21638799,0.01942713,-0.19564597,0.0010443485,-0.001384875,0.00021340062,-0.0019621206,-0.0017376099,-0.00013384114,0.0019575893,0.0002811772,0.00040579055,0.0007947489,0.028745782,0.030339073,0.009481709,-0.0025284686,0.0040590544,-0.00057082635,-0.000311188,0.000500617,-0.3461733,4.0280185317328,4.0602994
0.00043009146,0.038243692,0.26396257,-0.01471597,0.10141755,0.00036712305,0.0002445346,0.0023301642,0.0008792281,-0.00048825744,0.00027013844,0.0007796273,-0.00023914756,0.00043648464,0.00060328795,0.0048822057,0.04056617,0.0010299442,0.0011891979,-0.004231828,-1.66225e-05,-0.00051160075,0.00030160544,0.9904968,5.567633790708014,5.6051636
-0.0014496591,0.10774873,-0.00077292515,0.014370381,-0.0528853,-7.066165e-05,0.0030034878,-0.00091678114,-0.0021802261,0.0012302907,-0.0006933602,-0.0007299165,-0.00047629245,-0.0008862603,0.0016026968,0.027118446,-0.002864568,1.4457095e-05,0.0014980285,0.0022587283,0.0005781067,0.00019471957,-0.00010629937,-0.20532694,4.065083618984105,4.067201
-3.9037273e-05,-0.17178302,0.2841827,-0.0148912305,-0.040495608,0.00081874384,0.00085800444,-0.0017400057,0.0018635723,0.0017359793,-0.00020003408,0.00086532556,0.00047223538,0.0013287038,-0.00032866586,-0.042035773,0.052640297,0.0031348187,0.0026018075,-0.0023846305,7.7558805e-05,-0.00055535516,6.281874e-05,0.32483357,4.615262080137825,4.577963
0.0018373341,0.07757714,0.114940174,-0.016566047,-0.22606479,0.00039358746,-0.0010393918,-4.859001e-05,0.00091765745,0.0014668832,5.5431425e-05,0.00021215915,-1.2695056e-05,-0.0010556456,-0.0015245158,0.012693433,0.020806935,0.009238613,0.0006830646,-0.0035792165,0.00071248057,0.00034537356,-0.0004929194,-0.82022095,3.317012535289541,3.3482115
0.0019895325,0.055429082,0.0046199625,0.010613121,0.31756586,0.00018170709,-7.162421e-05,0.0034063722,-0.0018765517,-0.00055070774,-0.0013037181,0.0011469192,0.0004272245,-0.00057887647,0.0004231552,0.012369536,-0.00496635,-0.0036186206,0.0015965282,0.0022208022,-0.0003808242,-0.00072621665,-4.9179034e-05,1.6992304,6.314713462820941,6.2740383
0.0002296851,-0.12826753,0.017031688,0.016576404,0.042820886,0.0002872207,0.0008383035,-0.001299785,0.0020079447,-0.00054093904,0.00043929712,-0.00070675346,-0.00019872292,0.00074928906,-0.00067395763,-0.031777628,0.0012847028,-0.004415236,0.0016625475,0.0036941085,-0.00035976837,-2.532706e-05,8.5442225e-05,0.10890589,4.174375842503057,4.2052865
