corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score,fx_cost_pct,fee_cost_pct,tax_cost_pct,risk_composite,settlement_friction,infra_risk,treaty_friction,stability_risk,friction_score,pred
-0.0063174535,0.24038738,0.0774427,0.010118984,0.22831362,0.005067834,-0.008767088,0.0007330713,-0.0017627346,0.002226031,-0.009159324,0.0001783314,0.004496133,-8.930855e-05,-0.0005761714,0.0737125,0.02666003,0.071553916,-0.010609664,0.0019911104,0.0003920794,0.00041767664,-0.002391332,4.970003029343115,4.881563
6.392766e-05,0.16256024,-0.4398781,-0.02377358,0.81507826,-0.0016645406,0.00025721279,0.0013241798,0.0030372092,0.0013453582,-0.0002927998,0.0022168143,-0.0001820858,-0.0007895888,-0.0013608119,0.02991069,-0.076525204,0.25219563,0.0055588814,-0.0029283487,8.987659e-05,0.009097855,0.00093614863,4.898467834278093,4.9138246
-0.0016516083,0.09798234,0.4660994,-0.013787091,-0.7732637,0.0031409268,0.0015529381,-0.0005968751,-0.0019303284,0.00041671065,-0.0005302076,0.0018155845,0.0044203587,0.002115502,0.0009463268,0.028237635,0.09195606,-0.24415445,0.0011495507,-0.0033553701,0.00045725482,0.008320339,0.00046019978,3.871118646771146,3.847351
0.00015436011,0.22914116,0.6127128,0.013516875,-0.90501624,0.00045358145,-0.0027686988,-0.00095467246,-0.0020788787,-0.0009972253,6.749871e-05,-0.00038971798,0.0023259954,0.00017334562,0.00046878782,0.064407356,0.124552146,-0.28521484,-0.0024096456,0.003731284,0.00051085895,-0.014224716,-6.627248e-05,4.0280185317328,4.015641
-8.946577e-05,0.087295465,0.8045883,-0.012926607,0.36316994,-0.00065646996,0.0008139806,0.0017505825,0.0011736657,-0.00017416396,0.0010638435,0.004276928,-0.00044805152,-0.00012878663,0.0016179689,0.028614629,0.15584481,0.10320991,0.002747652,-0.002882997,4.7755435e-05,-0.015900234,4.8978516e-05,5.567633790708014,5.7006006
0.0012515173,0.18687883,-0.0069261077,0.013315631,-0.31397697,-0.0017984567,0.0022194514,-0.002321494,-0.0019487055,0.0012407883,0.00034664376,-0.0003048239,-0.0031463017,-0.0007917406,-0.00024476615,0.04376831,0.017453987,-0.09749564,0.0028269994,0.0013367559,0.00012301489,0.0076850373,0.00060599676,4.065083618984105,4.027643
0.00021804213,-0.28665298,0.8908758,-0.012693146,-0.21931633,0.0004898374,-0.005238281,-0.0019709312,0.002864438,0.00062583585,0.00088435854,0.0014203411,-0.00092091376,-0.0003637758,-0.00044434177,-0.07995442,0.17033808,-0.08020829,0.0026274098,-0.002397796,-3.343547e-05,-0.008285817,0.00028458572,4.615262080137825,4.549692
0.020560874,0.13674997,0.41072053,-0.015665798,-1.0589345,0.004189663,0.00069882674,-0.00015644671,-0.00104539,0.0007113746,0.0034733226,0.0015958893,0.00016661857,-0.0005148474,0.008694638,0.037555564,0.059371818,-0.32991937,0.0006755372,-0.0031780177,-0.00075238594,0.008711329,-0.003941359,3.317012535289541,3.457316
0.0019876559,0.09814286,0.09538287,0.010919148,1.4310021,0.0028326581,0.0019120723,0.0049661193,-0.004493774,-1.4120849e-05,-0.00047820917,-0.004578196,-0.0008521954,0.00024953161,-0.00013517668,0.028603906,0.034006122,0.47798413,0.0023743645,0.00088556483,8.371701e-05,-0.009117658,0.0003110281,6.314713462820941,6.349523
0.00072660414,-0.23349002,0.045041125,0.015652755,0.1845912,0.0002332903,0.0019264186,-0.0028954651,-9.653564e-05,-0.00011574004,-0.0012718672,-0.00039769945,0.0018448049,-0.00031225005,-0.0001755971,-0.06926315,0.01035307,0.0704585,0.0030250032,0.0019998166,0.00011988515,-0.006059114,-0.0002895084,4.174375842503057,4.1991534
